persons,weight,height,gender
person1,78.7368076574057,192.397388720419,F
person2,78.8437471911311,195.896178444382,F
person3,61.8511959537864,176.152696816716,F
person4,74.9792958237231,182.594477036037,F
person5,86.1134443152696,183.841774663888,F
person6,62.0307456050068,182.125992071815,M
person7,64.7967585455626,179.670930670109,F
person8,64.0063628740609,199.291888906155,M
person9,82.097953427583,186.851414428093,M
person10,84.91884236224,172.341323557775,F
person11,80.9282331820577,183.405592716299,F
person12,80.3686059359461,178.896152321249,M
person13,90.4956256784499,178.253701515496,F
person14,61.5048944111913,187.130156301428,M
person15,77.0688327588141,175.452928880695,F
person16,70.0172270089388,173.008417459205,F
person17,63.7660980131477,181.108708814718,M
person18,83.1136943772435,180.279786353931,M
person19,84.8232994787395,192.092130137607,M
person20,92.0859417598695,188.983051511459,F
person21,72.382691167295,197.942793755792,F
person22,72.7925131190568,198.899572964292,F
person23,69.2989369947463,191.441829861142,F
person24,73.8649139739573,177.539340371732,M
person25,97.1124107204378,189.886255222373,F
