persons,weight,height,gender
person1,99.7177015710622,195.383544110227,M
person2,82.5799452792853,185.789380490314,F
person3,76.6481509618461,178.78282509977,M
person4,64.9270530138165,183.823636916932,F
person5,96.277005886659,182.112703025341,M
person6,98.7943805661052,182.327048790175,F
person7,72.1958095114678,184.667121907696,M
person8,96.0032385960221,183.277391304728,F
person9,96.3030351698399,192.462885135319,M
person10,86.0389823652804,196.236927199643,F
person11,62.2203483711928,185.483738023322,F
person12,68.7477465718985,197.390543292277,M
person13,99.1751204803586,196.965870249551,M
person14,83.7944259215146,192.743951254524,M
person15,98.5802285652608,186.344251863193,M
person16,63.7349214125425,179.693394191563,M
person17,99.2026606108993,196.709862975404,F
person18,74.494022578001,185.918941348791,M
person19,93.8826346583664,170.659998299088,M
person20,61.5660665836185,194.662938015535,M
person21,93.9749894849956,193.095506259706,M
person22,93.9223565068096,171.099175016861,F
person23,87.1319267805666,184.422563447151,F
person24,80.3122430108488,174.142225228716,F
person25,88.5629118047655,196.600193839986,M
person26,92.7320255432278,181.104204065632,M
person27,90.8301125280559,184.014870317187,M
person28,78.2026868406683,197.391011798754,M
person29,71.9928488507867,190.653099156916,F
person30,84.4308649469167,196.522686346434,M
